subsector;sector;año_emision;alcance_1;alcance_2;alcance_3;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2000;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2001;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2002;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2003;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2004;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2005;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2006;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2007;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2008;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2009;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2010;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2011;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2012;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2013;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2014;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2015;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2016;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2017;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2018;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2019;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2020;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2021;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2022;;;;;;;;;;;;;;;;;;;;;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2023;;;;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2000; 62.795 ;; 274.966 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2001; 63.649 ;; 253.394 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2002; 61.584 ;; 254.480 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2003; 64.801 ;; 255.504 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2004; 68.045 ;; 257.759 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2005; 77.573 ;; 261.238 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2006; 80.419 ;; 263.337 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2007; 91.881 ;; 265.045 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2008; 90.360 ;; 266.559 ;;;;;;;;;;;;;;;;;;;;
Agua residual generada en la ciudad;Residuos;2009; 89.142 ;; 268.100 ;;;;;;;;;;;;;;;;;;;;
